"testScore","bodyLength","mountainRange"
52.68172813,204.5964783,"Maritime"
58.86730882,194.6660724,"Maritime"
77.82105191,198.9087408,"Maritime"
89.81549741,202.8991734,"Maritime"
70.05126312,194.0053025,"Maritime"
70.15305464,204.432935,"Maritime"
69.35118232,198.599238,"Maritime"
79.45642151,198.4922727,"Maritime"
80.1251367,203.0018325,"Maritime"
87.37121171,204.0924923,"Maritime"
68.62071889,196.6191159,"Maritime"
79.61413149,197.2118055,"Maritime"
76.09976873,197.4367955,"Maritime"
70.73252192,196.3309402,"Maritime"
100,200.2723806,"Maritime"
100,191.2489292,"Maritime"
89.96132321,208.3710426,"Maritime"
99.60564245,199.1000412,"Maritime"
91.09412187,195.2930049,"Maritime"
100,192.9174389,"Maritime"
49.12509733,199.0632277,"Maritime"
76.39837518,193.4526523,"Maritime"
100,196.5466237,"Maritime"
84.76762704,193.2691794,"Maritime"
46.52849982,196.2377882,"Maritime"
70.19868155,208.3468606,"Maritime"
18.57879652,169.8457111,"Southern"
31.27595021,168.4443179,"Southern"
32.43769552,172.6260848,"Southern"
48.33633542,169.9158692,"Southern"
27.52311082,169.4562011,"Southern"
47.13844807,173.2164946,"Southern"
33.49743019,182.0087228,"Southern"
22.82596364,172.2301887,"Southern"
33.15077352,162.3266403,"Southern"
41.89998206,174.1197927,"Southern"
32.34436836,170.464896,"Southern"
49.92369411,172.0604235,"Southern"
32.65306965,166.3266633,"Southern"
0,171.0507305,"Southern"
24.85078495,164.9587105,"Southern"
18.96191597,168.6704394,"Southern"
40.31845952,178.4998931,"Southern"
26.30842115,177.7946445,"Southern"
29.62876354,171.0892154,"Southern"
24.25831536,174.7524868,"Southern"
30.10438578,177.5754957,"Southern"
51.97491131,169.0762543,"Southern"
30.82413379,175.9195615,"Southern"
17.63300104,176.4742145,"Southern"
33.7160886,171.933489,"Southern"
27.44376646,169.1192163,"Southern"
52.01345886,171.6060259,"Southern"
54.72373363,172.8035081,"Southern"
33.95938627,185.0029331,"Southern"
14.38163838,175.4381516,"Southern"
41.83984419,184.3563081,"Southern"
35.29427534,178.1971182,"Southern"
57.76703707,175.3422198,"Southern"
38.68855856,185.9965017,"Southern"
0,173.5325881,"Southern"
26.92161437,179.1025508,"Southern"
41.4525665,185.4089792,"Southern"
35.11051376,182.8629878,"Southern"
42.0307733,182.5324659,"Southern"
39.51259816,179.6827508,"Southern"
41.04554244,190.3528249,"Southern"
55.48672224,189.6619891,"Southern"
47.79591368,189.8144079,"Southern"
20.0301813,191.637876,"Southern"
21.16921679,183.4594161,"Southern"
24.71449936,196.1379368,"Southern"
42.65001457,192.2720432,"Southern"
41.80699468,186.1325782,"Southern"
14.99948941,193.6163673,"Southern"
38.02095669,197.504274,"Southern"
15.92359899,188.9933373,"Southern"
44.58249001,184.0380145,"Southern"
25.59674894,191.7543213,"Southern"
24.7008828,190.4149845,"Southern"
2.599976158,184.1359253,"Southern"
30.56533582,198.5599755,"Southern"
20.0108515,187.8678848,"Southern"
25.64567772,189.6532957,"Southern"
14.48820423,196.0603978,"Southern"
24.61623476,186.4692712,"Southern"
84.19259973,210.7849136,"Julian"
97.64793511,216.177762,"Julian"
83.49706084,202.6896246,"Julian"
66.68982653,207.9572995,"Julian"
59.55419864,213.5493376,"Julian"
92.63240044,214.9188549,"Julian"
72.70060303,205.9777832,"Julian"
33.01120792,210.4354024,"Julian"
75.32990108,214.2783122,"Julian"
76.86891041,208.3020933,"Julian"
65.44912835,218.5710411,"Julian"
72.64175411,213.0088214,"Julian"
64.95098058,201.3747601,"Julian"
55.13912312,208.8451337,"Julian"
48.22811022,212.5688928,"Julian"
74.75372604,212.9179121,"Julian"
76.94967139,207.9578875,"Julian"
83.16814589,209.1888438,"Julian"
78.34166867,209.1163802,"Julian"
61.86634547,205.4238249,"Julian"
68.9558981,216.7468,"Julian"
85.49912574,220.1734949,"Julian"
61.50091004,215.9364267,"Julian"
53.39396496,222.5172536,"Julian"
63.95364633,217.7349199,"Julian"
71.9419906,220.2700929,"Julian"
100,209.490674,"Julian"
42.6229556,232.0245441,"Julian"
57.18445105,222.4751674,"Julian"
63.91119662,212.103999,"Julian"
98.49981569,215.7331782,"Julian"
62.91776784,218.0322671,"Julian"
94.11633537,230.6504174,"Julian"
64.66669404,215.8086151,"Julian"
53.44704295,218.4740889,"Julian"
80.41216873,217.2142413,"Julian"
77.68140195,219.5686339,"Julian"
80.44865361,219.1786122,"Julian"
66.42204568,214.5941259,"Julian"
79.26340539,229.194926,"Julian"
63.11640413,224.1063165,"Julian"
77.67858855,235.2356907,"Julian"
40.72778277,230.1745264,"Julian"
72.55565446,228.7563058,"Julian"
77.24917414,235.7619325,"Julian"
62.8720811,226.0114365,"Julian"
85.07255401,227.3245942,"Julian"
37.37126047,231.6467391,"Julian"
45.72630661,229.4615062,"Julian"
69.97591799,227.8427592,"Julian"
44.68137851,224.7289876,"Julian"
64.16086962,226.2744909,"Julian"
56.90269558,231.5607752,"Julian"
53.49612232,233.6532496,"Julian"
73.93776993,227.8715397,"Julian"
66.66395668,234.9150294,"Julian"
68.03086567,236.3624529,"Julian"
68.57630992,218.379971,"Julian"
89.04253104,232.5136804,"Julian"
55.49848401,229.1559291,"Julian"
67.75977708,187.2742058,"Sarntal"
86.98469635,193.4146872,"Sarntal"
72.00825963,183.0901561,"Sarntal"
41.18861111,191.4369676,"Sarntal"
71.86119542,187.5830611,"Sarntal"
54.05221853,194.1433106,"Sarntal"
68.53825925,190.3476995,"Sarntal"
94.54501018,195.5906784,"Sarntal"
54.34806193,185.5103318,"Sarntal"
82.85390216,195.131278,"Sarntal"
58.04338816,193.1420621,"Sarntal"
52.63777041,196.8125429,"Sarntal"
84.26941563,187.5895292,"Sarntal"
82.01246834,187.5918829,"Sarntal"
67.43558238,185.0610719,"Sarntal"
58.32778384,195.2989693,"Sarntal"
70.22836364,187.7512061,"Sarntal"
70.46699771,191.5504562,"Sarntal"
100,193.4236447,"Sarntal"
55.15524214,187.2260442,"Sarntal"
80.29278942,201.4693094,"Sarntal"
55.45087479,200.0089144,"Sarntal"
25.04964151,201.1818922,"Sarntal"
60.46641142,203.0729543,"Sarntal"
64.52871139,196.7923379,"Sarntal"
67.05504096,211.515051,"Sarntal"
58.7786632,197.4586825,"Sarntal"
50.81465835,197.3639815,"Sarntal"
70.96525177,200.1878132,"Sarntal"
78.36248405,200.1565211,"Sarntal"
42.97815129,200.004242,"Sarntal"
40.60387992,199.2015347,"Sarntal"
57.07400263,196.3897333,"Sarntal"
75.24561779,203.1731159,"Sarntal"
76.59404256,193.5597646,"Sarntal"
71.09596606,200.1274406,"Sarntal"
48.91303314,204.1876621,"Sarntal"
40.53400944,200.6415586,"Sarntal"
13.08091638,199.9993253,"Sarntal"
75.95775853,193.3399833,"Sarntal"
76.5151287,212.2828061,"Sarntal"
73.61703391,209.3062303,"Sarntal"
94.10609628,216.7270906,"Sarntal"
62.30081185,222.4187767,"Sarntal"
58.99851772,206.2145502,"Sarntal"
66.53893548,209.9636539,"Sarntal"
51.28794068,203.2931779,"Sarntal"
56.68832135,212.7266793,"Sarntal"
70.30222165,209.9372328,"Sarntal"
77.15232632,215.9616383,"Sarntal"
73.8070584,214.1953811,"Sarntal"
57.78187308,211.6900388,"Sarntal"
63.525721,222.9063425,"Sarntal"
53.71349665,222.4036862,"Sarntal"
87.41397361,205.6941259,"Sarntal"
81.88360971,211.1533123,"Sarntal"
59.36769676,213.5771741,"Sarntal"
68.75460874,207.625105,"Sarntal"
74.89499779,198.2527734,"Sarntal"
65.95006213,208.0559773,"Sarntal"
